Video ID,Author,Comment,Label
XmB6OyA7iQU,@kristotato1957,respekte zotris per sakrificen qe bere por ai jane tjere,0.0
YhRDIGr3Ag0,@kritikuiashper2836,do qir lopthi kshu është kur punon dumdumi likes,1.0
Y94GQrRkaGY,@alisalis3517,bravoooooooo z rama lumte goja mire ua the ashtu jane mesua greket shikojne halen tyre rrofte shqiperia,1.0
HxuCXIgilFc,@asamblehoti9738,zoti ruajt more djale zgjuar trim,0.0
J5Cg86mX9kc,@xhevahirdisha7891,ca eshte ky manjani idiots,1.0
l2TYc4sf9dw,@cecomusaraj4996,ke len shkaterruar ky kriminel,1.0
JD-tAYIpgaA,@AmeiseAffe,turp avokat turp turpka shume dashuron majenpo nexhin harroveapo nexhi dashnor tjeter,1.0
yhNUAnnIcMo,@HappyChameleon-qt1qq,odebile,1.0
CMPqrA5suRo,@mariatsoli8270,po mereni pasurin gjakun popullit aiduter ndyr varesh djeksh per se gjalli,1.0
9j41I4OPFbY,@orio5605,per tek por merr njeri persiper,0.0
HxuCXIgilFc,@Renato-ld3nq,artan shqiptare marin flak bytha atyre oficerve tju bejne gojore prokurorit di qihet ropt,1.0
KHNPb81a21M,@jondursi3823,spartak gjithmon ju amo per ramen gabim ska dallim meta berisha rama olsi rama gjermania video film ja qe boss labor droges ne shqiperi,1.0
y-5Vl61eZmY,@shefqetballa9229,o ilir ke cfrytezuar karriken pushtetit ede saliu vec per vjedhur per shkatruar ben pis vojokushin ne buzet tuja,0.0
HxuCXIgilFc,@danirati2823,lumt goj o artan,0.0
2MYQBaog-d4,@zenelkasemi5517,po grekt njofin besen enveri ishte studiuar ishte komandant zonja esht shkolle foli o xhaxxhi foli sqaroja rokje,0.0
JD-tAYIpgaA,@fatmirakrrashi2462,maja eshte poshter,1.0
HxuCXIgilFc,@aleksanderleka4128,pelqeu qe tha lon edi rama esht fiks ashtu sepse sala ilirin jan armiqt shqipris por poplli kupton jan trash akoma mban kto qelbesirat ju desh tja linte rama per ja mbush mendjen ktyre qeshesin bythen greku,1.0
JD-tAYIpgaA,@florjankanapari2718,ky duket djal articuluar por manja dhi eger nje her sme pelqyer ajo fytyren shum shpifur mjer halli cte zuri more zoti arben,1.0
WDk0jy-CiLs,@user-gh3si9uc9h,izolimi politik esht nji vrasje moderne pushk ajrore,0.0
WDk0jy-CiLs,@gencigenci,ne shihnim grekun apo jugosllavi,0.0
HxuCXIgilFc,@pacfat2431,eshte rende sjepen emrat skuadres operacionale plerat,1.0
SDxqL7L2Ivo,@user-by8xj7ji7h,respect kryemister,0.0
HxuCXIgilFc,@gerimeta7730,o analist skaduar po kur policia prova shkojne ne prokurori prokuroria çon ne gjykatepo jete gjykata pavarur pakurruptuar kryeministri vendit nderhyn dotpo ne shqiperi kane gjetur shesh bejne pershesh,1.0
CMPqrA5suRo,@NezirHaxhi-xe7sn,ilir kok xhenemi skraparit sali gerdalla jan paret ne listen vjedhjeve pastaj vin kompania bello vjet vetem grabitje vrasje plackitje duhet patjeter ne burg perjetshem konfiskim pasurie,1.0
l2TYc4sf9dw,@vladimirgjo2368,bravo,0.0
HxuCXIgilFc,@shahinimehmet6835,td lumt zotri artan hoxha madhe,0.0
HrDU5SxepBA,@user-px4gs4jc6p,ishalla ben hilace ato leket qe fituar,1.0
xzIKCYl4z38,@jetnormurataj8337,bravo meta vjen hakun ketyre plehrave,1.0
HxuCXIgilFc,@besiqypi3931,o tan futi nje dajake pushtit mutit qelbesira,1.0
HxuCXIgilFc,@artandervishi1054,ktyre ekstermisteve grek sduhet tu jepet fare drejta fjales rrespekte per artan hoxhen,0.0
D3_B8kKmUjc,@user-ve6ux9yt3u,llapaqen trego sa perfitime ekonomike ke o ke fituar,1.0
HxuCXIgilFc,@envershahini1817,bravo,0.0
CMPqrA5suRo,@Paja-uz3jx,lumte avokat ke thene fiks drejten,0.0
HxuCXIgilFc,@lulietap8813,bravo artan gazetari talentuar,0.0
R2K4IQGpiGM,@rovena2elezi239,grida shpresoj qe ardhmen kthehesh ne politik super grua,0.0
8e1U-sfyaXs,@ramadanramadani8362,respect,0.0
JD-tAYIpgaA,@luljetaga4040,bo bo cfare na shofin syte,0.0
c7b74Ex-kCA,@lantatsiro4458,perse beni kete emision tani perpropagande zgjedhore skam asnje lloj interesi jetoj vjet jashte po zgjuar burre se ilir meta ska,0.0
l2TYc4sf9dw,@freudvibes10,aktor mirë se ati ndihmuar pd thotë o zot shumë biznesmenë për përfitime asokohe pasur biznesmenë kanë mbështetur shuma paimagjinueshme sepse dinin do shpërbleheshin tendera etjnë rast fitoreje,0.0
HxuCXIgilFc,@enxhimuca5411,klodiana ndonje here flet budallalleqe,1.0
f6EPrj5Jjns,@sokolltorllomishi2186,haha setebonmire llumi komunistve,0.0
SDxqL7L2Ivo,@nazmijesulce2800,o ram mer fejzin po vjen weshi na zonja we do belerin ma fejziu we bashkonet belerin turp turp,1.0
WDk0jy-CiLs,@user-vm8oq1bd7w,po ishte servil do hante burgun,1.0
Y94GQrRkaGY,@toligushi5828,gjithë shtetet botës kanë drejtën flasin atë është për mirën vendit tyre pamvarsishte se është banor banor apo banorë bravo rama leroja tregoi vendin shtet nëncmon shqipërin bravo,0.0
CMPqrA5suRo,@elhamdulilarabinalemin3388,allahu ishkatrroft zumyqaret,1.0
PUyqWp5V3sE,@user-nc9zz8ku8x,ftoni ne studio ato kelysh greku,1.0
DO6VjP2rIu8,@murrizi5542,ju vraft perendia o shkerdhatat mjer vdiqet shqiptarin shqipnia po ben vorrin shqiptaris esht verteta,1.0
l2TYc4sf9dw,@politicallyincorrect2564,dhjeu o garip se ngele duke ironuar njerzit turp vij ngele vetem qeshje ironike palo burre,1.0
xzIKCYl4z38,@GentianFerhati,shpërfytyruar zoti hajdutin shqiptarëvedo laj gjith gjynahet ky kriminel bër kundra shqiptarvefalemderit amerikës spakut,1.0
mYFcmLX4mUc,@luljetaga4040,greku those oti kanis paths d m th cfare bene do bejne,0.0
JD-tAYIpgaA,@saimirshehu6846,goj bretkosa ai be kengetare tani duket vetja vipkerma,0.0
l2TYc4sf9dw,@mrikatryci7368,po ty lumtë o gjergj ndrek luca sa bukur ke fol,0.0
J5Cg86mX9kc,@behar.hametaj,emisione qelburaqe mbajne penge studiot televizivesa turpe per ataqe mbajne ne kembe,1.0
D3_B8kKmUjc,@rajmondahoxhaj5322,shume sakte duhet opozite forte revolucion,0.0
sBuYrv_W1hM,@Perparim-gp1ef,futini nje plumb ne bythe atij bufit,1.0
0ujWdDWJ0Ck,@hasimecoku8376,ma shpif ky fejziu,1.0
R2K4IQGpiGM,@bossiboss-od1xh,grida nevoi vetem min tjem per ball teje,0.0
WDk0jy-CiLs,@Patate-ph6xm,merr spartakun o grid degjo vetem kte kerkes,0.0
CMPqrA5suRo,@user-jn8lt2zp2x,bravo burgaxhi bravo ju qe mereno kete burgaxhi dallaverexhi spiun njeri qe prish imazhin tjereve pastj bene burge,1.0
c7b74Ex-kCA,@sokolallaraj4646,besh programe televizive eshte kollajeshte njohur metoda komuniste demaskimit faktete kete fakte bindese duhet drejtesia paanshme veproje ndryshe ky eshte nje skup mediatik per manipuluar opinionin publik para zgjedhjevenjeriu drejte mund pyes po media investigon per mega skandalin inceneratoreve ate charles mcgonigal kredibilitet top chanell qe eshte akuzuar publikisht opozita mediat tjera per pervetsime parate inceneratorevete marresh per baze fjalet spartak brahos idajet beqirit eshte jo profesionale fyese per audiencen,0.0
CMPqrA5suRo,@arbenmyrtaj2885,iliri monika dy mafie qe kane vene pasuri parate vjedhura,1.0
HxuCXIgilFc,@rozamico5096,artan hoxhakam respekt shume madh per ju respekt,0.0
CMPqrA5suRo,@blackeagle7947,rama veliaj jane binomi se keqes,1.0
JD-tAYIpgaA,@user-mq9ez3jm5n,mashtruesat edukate duken forca maja se ke punuar gjithe jeten bere rob burrin mori mbiemrin veshtiresoi jeten ja ben tani sikur njeh,1.0
xzIKCYl4z38,@user-bj5tb8sw7i,ilir meta po shkon aty ku pelçen se rshte trim se gjith politikanet shqipris,0.0
zPRIW50IYGU,@katjageos3857,njeshi edi,0.0
zPRIW50IYGU,@azmirabutzer5464,o edi o yll bote mundesi pas hije gjithshka madh uroj qe tani per fitoren sigurt prillit fitore psja,0.0
zPRIW50IYGU,@tetovaralbania5052,minuta ma fort,0.0
9ivr3YoZmCo,@Besianelamaj4835,luçiano lixhioburri beles ben forte,0.0
NE__Imj_Sv0,@arbenmyrtaj2885,iris pare sorra syte esaja,1.0
DO6VjP2rIu8,@fazligajraku1255,o shoku minister njerzit kan per ze ngran pune,0.0
xzIKCYl4z38,@user-ot5uh2rk9l,ivjen zor per femijet qe po turperojne per tere jeten,0.0
c7b74Ex-kCA,@abdullakastrati4659,gjë kuptoj mirë meta berisha etj korruptuar vrasës kriminela gjithëqka tjetër zezë por ata kanë kohë në opozitë këta horrat rilindjes qfarë pengon qeverisin mirë se kanë vite kanë kazana tepsia tenxhere fertere timon gjithëqfarë,1.0
ul_GJAU6e-g,@francsaraci5858,ato pallatet qe skan zbrit do jen ata qe ke shem kto kohet fundit,0.0
HxuCXIgilFc,@eriongolemi3085,mir ja bere qenit o tan hoxha respekte london,1.0
zPRIW50IYGU,@GjoniClan,kalu normen kyt fake qeshunin pubikes,0.0
CMPqrA5suRo,@user-ul2we3ov8m,merjani lekuren atij qeni zgjebosur bravo avokat jenjehero vertete,1.0
JD-tAYIpgaA,@lirivata1620,uaa more zoti avokat qeje besh ligjet do,0.0
Y94GQrRkaGY,@dashamirvaqari3128,pro serbi pro serb ngelet ja kan lene pararendesit amanet se pjelle popovicit mugoshes qe ne gjeneze partise qe ju drejtoni,0.0
gnq_bShXo60,@veravera2021,avokat vecant,0.0
SDxqL7L2Ivo,@ilirsinanaj123,keto baxhella mediatike,0.0
CMPqrA5suRo,@luliosmani6830,bravo,0.0
J5Cg86mX9kc,@stavrimacoku,enver hoxha per ate teme sejkon vrau kadri hazbiun pushkatovi ne se tha pikerisht kete shprehjeska mundesi tha qe nje cam behet agjent grekutti ke genjyer partine ke vrare padrejtesisht teme sejkon,1.0
nVeCIbiouUk,@FlorianLila-iw3bz,o edi ooooooo nje shqiperis ton,0.0
d8eRvVLfsnI,@TheTruth-ez9gi,çfare thote ky luca mo leket tija ku gjeti leket ky hajduti pano ekonomist lumte vella bb,0.0
f6EPrj5Jjns,@robertmashio7701,o verrome mosw ngerpre,1.0
sBuYrv_W1hM,@bashkimtroka3223,bravo tani pelqeve pergjigjen qe atij palacos qe aty ne studio,0.0
J5Cg86mX9kc,@afrimi1238,ik ore kok qepnanjan keshi,1.0
JD-tAYIpgaA,@user-xb8qv6yr9x,ca qenka pleksur zoteriame nje cmendur,1.0
2MYQBaog-d4,@annakamp955,hapni fjalorin shqipes nderime për d goxhajn,0.0
SDxqL7L2Ivo,@miltiadhllacaj9750,jame maskiliste po dy fjale do themegazetaret ne shqiperi jane shumica plehrate edukuar arrogantethashe qe jame maskiliste por rrihet dote thene qe nje dhi nuke ke lidhje fare gazetarine se kame ndjekur ne emisione tjera,1.0
0ujWdDWJ0Ck,@erbstonin7128,po sala do hik para teje marr jet njerzish aj,0.0
JD-tAYIpgaA,@anisazane3783,ky avokati duket mashtrus,1.0
zPRIW50IYGU,@silvishoraj9521,zem sikur ishte floriani luan rolin edi rama qysh luan roli ne portokalli esht gallat,0.0
HxuCXIgilFc,@edimalaj8670,poflet mir respektoj folsin hoxha,0.0
VJKFRs1xGe8,@zenelzeneli2951,po tregoi per vilen qe ja bere curri naka qenka,0.0
NE__Imj_Sv0,@blerinahaxhagiq3086,reporti asht program rrexhistrum moj sorre shplame edi rama din fort mire kete,0.0
CMPqrA5suRo,@PashkZefgjergji,mjr popull kush po drejton cdo gja esht shum djers,0.0
WDk0jy-CiLs,@gencigenci,po historia institucionale,0.0
J5Cg86mX9kc,@gahajaagjajakshdjs7380,së shpejti shqiperia duhet kerkoj ne okb qështjen çame këthehen pronat paguhen dëmet,0.0
SDxqL7L2Ivo,@marsedsadikaj8649,papar edi,0.0
HxuCXIgilFc,@jetmirduraku3625,boss,0.0
JD-tAYIpgaA,@feuerzeug6266,kur mam pare per here pere majen thashe do lidhur zinxhira se ndryshe ska bure mbaje fe shkretin agron beri alkolist pastaj drogaxhi avukati kohes se enverit duke njohur mire ben pyetje vetes ce shtyu kete behet alkolist pas mari droge tregon se avukati eshte pordhe ne nj emision avukati be qen terbuar per bere mehmet shehun qytetar nderi,1.0
d8eRvVLfsnI,@elsongjoka6590,ishte ballkani hapurdo le shum mundesi gjej treg qon qershit aty ku nevoj nqs tregu shqiptar nk nevoj kaq thjesht,0.0
c7b74Ex-kCA,@shpendduka1113,votojeni prap kto plerat popull kot apo tani qe eshte bo saliç berishiçi,1.0
l2TYc4sf9dw,@arjanpupa2854,hale njeri,1.0
xzIKCYl4z38,@muratshehu18,nderuar lexues ilir meta aq intelekt sa pasur rrapush xhaferi fajdeve vetquajtur gjeneral ok,0.0
DO6VjP2rIu8,@mirandadede8064,ky eshte babai skemes perca sundo tipik komunist,1.0
JD-tAYIpgaA,@dritakadiqi-tx5lz,dashuria mbaron po djali esht dyve,0.0
FtBcuwX8j_0,@fatosyzeiri2866,erjon veliaj krye hajdut,1.0
HxuCXIgilFc,@anchor9432,futini plumb kokës kësaj qelbësire mbiemrin dhulimor qiftë dreqi naniçkën,1.0
PUyqWp5V3sE,@emiljancekaj,kta duan enverin maskarenje grek ndyre pisa njerez,1.0
PUyqWp5V3sE,@user-ok1os7be6p,o tan ai thot esht vogel jepi nje bibiron,1.0
CMPqrA5suRo,@bukurinh3380,shifni poshte se reagojne patronazhistet krimbat kuq sigurimit menjehere sa del ne ekran fytyra tyre piste ke bastardi felliqesira beqiri spiun sigurimit burgaxhi ben propagate moral ne kete kanal hale,1.0
nVeCIbiouUk,@user-bw1rw3rv3p,oj laraske po kush ftuar ty per debatti per dele sqenke jo per debat kryeministrin,1.0
CMPqrA5suRo,@hakixhafa3889,pas renies se komunizmit shqiperine kane udhehequr kriminelet hajdutet,1.0
gG62Vu4qwsk,@Shqiptari61,po ky sekretari omonias po lypka ja qi at nanë plumb në kokë,1.0
y-5Vl61eZmY,@grandehulk7512,keput ne bythe duke punuar be milonat,1.0
c7b74Ex-kCA,@drejtesi6130,per shkelzen berishen jep dy here doreheqjen ilir krimineli por berishen shok per vjedhjen floririt hedh poshte degjojeni or popull se tha gojen tije prej krimineli hajduti,1.0
SDxqL7L2Ivo,@agimpeqini3710,bravo respekte,0.0
Y94GQrRkaGY,@onufrionufri8068,o balla thuaj atite drejtuesit seances tja prese fjalen asaje fut koken bytha rri burre mire,1.0
xzIKCYl4z38,@UncoStudios,po nxjere sekretet ky fshatari çepes se skraparit turpppppppppp,1.0
CMPqrA5suRo,@VojsavaLataj,avokati ditka gjitha çfar ndodhur pseee kaq von oooooavokat,0.0
zPRIW50IYGU,@marselcela1448,o rama qeke lot,0.0
2MYQBaog-d4,@Aplacino,mashtrimet evropiane diktarin enver hoxha ahmet zogu ku friga evropës lëshuan ose falen tokat shqipëtare,0.0
y-5Vl61eZmY,@user-vt9kd8lf5z,respekte per ju avokat,0.0
CMPqrA5suRo,@blackeagle7947,skap eshte fyerje inteligjences shqiptareve skap dy standarte,0.0
8e1U-sfyaXs,@Unedhetibejmdy,dhjefsha gazetarin po aj thot dënuar për dhunë në familje ju ndihmoni krimineli,1.0
zPRIW50IYGU,@mi.12745,lene mallin edo se bo paranoja mere sportovitet humorin,0.0
8e1U-sfyaXs,@tomorpici5003,bravo gazetarit,0.0
CMPqrA5suRo,@user-ix7em4of8r,na gjeten ata psuri pasjria eshte popullit,0.0
