Comment,Label
o klodi veshte ky pseudo grekboll keta qe duan zor behen çfar sjane keta jane anti shqiptare artani klodi numero uno complimenti,1
bravo z artan hoxha,0
ma pari asht berisha ci than per djegjen madateve po ju se nepni po ksyrni se kini rregjistrum po kan than mo trasportoni ma,0
ca bani kombit shqiptar ilir meta vodhi coptoi,0
ky qenka burr zotri po po femra laviri jetohet shtyhet po tejet gruja mir rregullt familja dojet bashkume turp per grun jan ber grat digjenerume zoti prift mar mor shok brrravo gazetarit,1
po nrm qe do dilte njeri kushedi cfare kane pare sytw ty gruas femijevedhe beni ye fortw grate pastaj beni gnynafqare,0
kush president o mashtrus o legen,1
meta pergatitur flet shume mirepse flisni cfare ben rama,0
o legen luca ato prona qe mendon se jan tuat ne fakt jane tonat jan popullit,1
po ore pose sot lexoni fare,0
respect,0
boboboooo cfare mafie tmerrrshmeqe deri sot kera dy felliqsiraaaaa qe vjen era hale duke vjedhur dmth ha ben mtmafjemafje vetem nje pyetje o kryemadhe metaj ku gjeten miljon ero per vilen gjyrit lalsit leme tjeratgjak ju befshin parate popullit ne gjithe familen ju dalshin per hundesh o ilir floriri qe thote sali berisha,1
o gazetar o pederast plak se tallesh tjetrin o legen,1
gjithë shqiptarët punojnë kanë punuar jetë tërë por skanë bukë hanë kur vjen fundi muajit,0
madhi zot krijuar mashkullin femrën dy së bashku krijojnë familjenështë haram lindësh fëmijët krijim artificial,0
mjafte keto bla bla bla bla duket macja qe kacavjerret xhami,0
o avokat perveç burgut tu sekuestrohen gjitha pasurit eshte deshira popullit,0
di tithem tanit aman o burr kur shikon do tipa trupi burra duken burra sepse njeriun shikoje koka po epave qe esht kalama futja noj barcolet per qat nat mbylle shkurt emisjonin,0
çamëria është karat shipëtare,0
bravo rrespekte,0
dëgjova vëmendje burrë mençur kurajoz drejtpërdrejtë sikur shqipëria shumë lumtë z luca hecte mbare,0
sa shume degjon aq shume neverri vjen per keto fytyra palavosish kuçka ngjyrosura aq keq ardhje per popullin mjerre,1
djegshin pervelofshin kurv greke,1
esht fytyr idegjenurim spranon fare per shqiperin,1
ky emisioni kesaj pleres gjithmon ben emision anti shqiptar duhet zhdukur plera,1
do vije dita qe tradhetaret vatanit do paguajn,0
ylli rropte ku keshe qe therrete ata grekete kurves ne telvizionin shiptar,1
keta dy vjet korupcion vjedhje haptasi po kqi se kta vet qe konsiderojme kete krim,0
mor ky hoxha eshte nje gazetar idiot kujt verter psikopat,1
baba rama gjigand fare esht rujt zotibishishaeshqpieris edhemandati tert joti eshtbesoj,0
gje gjergjin po esht drejt gjergji jorgali stegopul,0
mire thote se po flene akoma veje kape per veshi nxiere perjashta,0
ore xhirimin saliun kush ja beri ngjeles se ngjela marre persiper cimken regjistrimit,0
ilir meta,0
ehhcizmja ishte per arta markun por perpabesine rames qe firmos listen vet nderkoh qe rene dakord tre palet firmosninsdi cfar fryni nvesh rames usa ai firmosi per korruptuarit ps ne administraten shtetrore,0
bravo tani qij robt grekut,1
lumte goja o gjergj,0
ky thote ashtu sic kane qene gjerratenveri berri shtet tani shteti eshte bere qendrushem,0
kta pdse jane shume trima,0
bëj thirrje spakut arrestojë këta plehra dalin në media shajnë ofendime përse pyesin palaço largohej pd mbaruarë mandati qeveritar shkoj ke rama tani del kritikon ramën ky hajdut ordiner duhet largohet politika votaduhet distancohet populli këta maskarenj profesjonist,0
duhet themi shyqyr qe murrizin shikojme televizion televizion rendesi cfare thuhet rendesi cfare shikohet murrizin duhet ruajme ujet ftohteah sikur kishim disa mutriza tjere,0
aj qe ndihmove na pruni grekun mrenda tash shkaun,1
o h këta juaj tanët duhen varur midis tirane gjith dallim,0
njesh o tani,0
bekofte zoti gjifhe camerit kudo qe jane,0
o avash rakipllari ber karagjoza qe gjith,1
genjeni se un zona kufitare po skam pat arm,0
brava artan elio at kar flasi,0
lluca lodhur bythen esht ber pasha ramen po udheheq rozafen keshtu hajduteria ne politik,1
super hazetar zoti hoxha,0
edi rama ësht njëritani le zgjedhë drejtësija,0
himara eshte toke shqiptare pike,0
mut njri kak tjetri ju dhjefsha emissionin dhjefsha televisionin jepni asnje moral kesaj shoqerie plaku plaka njerez felliqur po na tregoni perralla ketu sdi jua lejon ndergjegja dilni neper televizione ptuuuuuuuuu ptuuuuuuu dy beni per vjelle,1
fal fal ne angli gradacelat tjerve shikon gradacelat etij shikon,0
sharove o avukat kpute fare,1
o tan kapi qij ne bydh,1
lenia mandateve opozites saliilir be per çuar tej ligjet reformes ne drejtesi qe po çojne ne burg saliun ilir meten paska qene dakord kryehajduti ilir meta skrapari,0
para gje katandis aq keq sa populli filloj kerkonte prap enver hoxhen ne pamundesi zhjodhen ty z rama deri sot ke çuar gjerat akoma keq sa populli po kerkon sali berishen no differencemuti kaka kaka muti thon gjyshja ime,1
mund lihen liremandje bejn propagand ne tel meruni pasurit futini aty ku dalin se ja kan nxirepopullit jetendhe na kan turpnuar,0
ore beqirhajdut jese ke zhvatur parate njerezve qe gjoja mbroje avokatine tendeduke genjyerkur kerkonin njerezit qe kishe marre parateti fshiheshe dilje meti nje hajdut mashtrues,1
rroni vete rastin vendosjes se luleve,0
miletit intereson sekuestrohen gjitha jo burgu se dime bejne burgun ketaaa dyta duhet largohet vendi haje parate vjedhuraaaaa,0
curi eshte bere leshtë curit sa ne nje studio në tjetrën marr per ky loloja çanit,0
o idetë ceahte ky rrypqe flet kështu,1
respekte zotris per sakrificen qe bere por ai jane tjere,0
do qir lopthi kshu është kur punon dumdumi likes,1
bravoooooooo z rama lumte goja mire ua the ashtu jane mesua greket shikojne halen tyre rrofte shqiperia,1
zoti ruajt more djale zgjuar trim,0
ca eshte ky manjani idiots,1
ke len shkaterruar ky kriminel,1
turp avokat turp turpka shume dashuron majenpo nexhin harroveapo nexhi dashnor tjeter,1
odebile,1
po mereni pasurin gjakun popullit aiduter ndyr varesh djeksh per se gjalli,1
per tek por merr njeri persiper,0
artan shqiptare marin flak bytha atyre oficerve tju bejne gojore prokurorit di qihet ropt,1
spartak gjithmon ju amo per ramen gabim ska dallim meta berisha rama olsi rama gjermania video film ja qe boss labor droges ne shqiperi,1
o ilir ke cfrytezuar karriken pushtetit ede saliu vec per vjedhur per shkatruar ben pis vojokushin ne buzet tuja,0
lumt goj o artan,0
po grekt njofin besen enveri ishte studiuar ishte komandant zonja esht shkolle foli o xhaxxhi foli sqaroja rokje,0
maja eshte poshter,1
pelqeu qe tha lon edi rama esht fiks ashtu sepse sala ilirin jan armiqt shqipris por poplli kupton jan trash akoma mban kto qelbesirat ju desh tja linte rama per ja mbush mendjen ktyre qeshesin bythen greku,1
ky duket djal articuluar por manja dhi eger nje her sme pelqyer ajo fytyren shum shpifur mjer halli cte zuri more zoti arben,1
izolimi politik esht nji vrasje moderne pushk ajrore,0
ne shihnim grekun apo jugosllavi,0
eshte rende sjepen emrat skuadres operacionale plerat,1
respect kryemister,0
o analist skaduar po kur policia prova shkojne ne prokurori prokuroria çon ne gjykatepo jete gjykata pavarur pakurruptuar kryeministri vendit nderhyn dotpo ne shqiperi kane gjetur shesh bejne pershesh,1
ilir kok xhenemi skraparit sali gerdalla jan paret ne listen vjedhjeve pastaj vin kompania bello vjet vetem grabitje vrasje plackitje duhet patjeter ne burg perjetshem konfiskim pasurie,1
bravo,0
td lumt zotri artan hoxha madhe,0
ishalla ben hilace ato leket qe fituar,1
bravo meta vjen hakun ketyre plehrave,1
o tan futi nje dajake pushtit mutit qelbesira,1
ktyre ekstermisteve grek sduhet tu jepet fare drejta fjales rrespekte per artan hoxhen,0
llapaqen trego sa perfitime ekonomike ke o ke fituar,1
bravo,0
lumte avokat ke thene fiks drejten,0
bravo artan gazetari talentuar,0
grida shpresoj qe ardhmen kthehesh ne politik super grua,0
respect,0
bo bo cfare na shofin syte,0
perse beni kete emision tani perpropagande zgjedhore skam asnje lloj interesi jetoj vjet jashte po zgjuar burre se ilir meta ska,0
aktor mirë se ati ndihmuar pd thotë o zot shumë biznesmenë për përfitime asokohe pasur biznesmenë kanë mbështetur shuma paimagjinueshme sepse dinin do shpërbleheshin tendera etjnë rast fitoreje,0
klodiana ndonje here flet budallalleqe,1
haha setebonmire llumi komunistve,0
o ram mer fejzin po vjen weshi na zonja we do belerin ma fejziu we bashkonet belerin turp turp,1
po ishte servil do hante burgun,1
gjithë shtetet botës kanë drejtën flasin atë është për mirën vendit tyre pamvarsishte se është banor banor apo banorë bravo rama leroja tregoi vendin shtet nëncmon shqipërin bravo,0
allahu ishkatrroft zumyqaret,1
ftoni ne studio ato kelysh greku,1
ju vraft perendia o shkerdhatat mjer vdiqet shqiptarin shqipnia po ben vorrin shqiptaris esht verteta,1
dhjeu o garip se ngele duke ironuar njerzit turp vij ngele vetem qeshje ironike palo burre,1
shpërfytyruar zoti hajdutin shqiptarëvedo laj gjith gjynahet ky kriminel bër kundra shqiptarvefalemderit amerikës spakut,1
greku those oti kanis paths d m th cfare bene do bejne,0
goj bretkosa ai be kengetare tani duket vetja vipkerma,0
po ty lumtë o gjergj ndrek luca sa bukur ke fol,0
emisione qelburaqe mbajne penge studiot televizivesa turpe per ataqe mbajne ne kembe,1
shume sakte duhet opozite forte revolucion,0
futini nje plumb ne bythe atij bufit,1
ma shpif ky fejziu,1
grida nevoi vetem min tjem per ball teje,0
merr spartakun o grid degjo vetem kte kerkes,0
bravo burgaxhi bravo ju qe mereno kete burgaxhi dallaverexhi spiun njeri qe prish imazhin tjereve pastj bene burge,1
besh programe televizive eshte kollajeshte njohur metoda komuniste demaskimit faktete kete fakte bindese duhet drejtesia paanshme veproje ndryshe ky eshte nje skup mediatik per manipuluar opinionin publik para zgjedhjevenjeriu drejte mund pyes po media investigon per mega skandalin inceneratoreve ate charles mcgonigal kredibilitet top chanell qe eshte akuzuar publikisht opozita mediat tjera per pervetsime parate inceneratorevete marresh per baze fjalet spartak brahos idajet beqirit eshte jo profesionale fyese per audiencen,0
iliri monika dy mafie qe kane vene pasuri parate vjedhura,1
artan hoxhakam respekt shume madh per ju respekt,0
rama veliaj jane binomi se keqes,1
mashtruesat edukate duken forca maja se ke punuar gjithe jeten bere rob burrin mori mbiemrin veshtiresoi jeten ja ben tani sikur njeh,1
ilir meta po shkon aty ku pelçen se rshte trim se gjith politikanet shqipris,0
njeshi edi,0
o edi o yll bote mundesi pas hije gjithshka madh uroj qe tani per fitoren sigurt prillit fitore psja,0
minuta ma fort,0
luçiano lixhioburri beles ben forte,0
iris pare sorra syte esaja,1
o shoku minister njerzit kan per ze ngran pune,0
ivjen zor per femijet qe po turperojne per tere jeten,0
gjë kuptoj mirë meta berisha etj korruptuar vrasës kriminela gjithëqka tjetër zezë por ata kanë kohë në opozitë këta horrat rilindjes qfarë pengon qeverisin mirë se kanë vite kanë kazana tepsia tenxhere fertere timon gjithëqfarë,1
ato pallatet qe skan zbrit do jen ata qe ke shem kto kohet fundit,0
mir ja bere qenit o tan hoxha respekte london,1
kalu normen kyt fake qeshunin pubikes,0
merjani lekuren atij qeni zgjebosur bravo avokat jenjehero vertete,1
uaa more zoti avokat qeje besh ligjet do,0
pro serbi pro serb ngelet ja kan lene pararendesit amanet se pjelle popovicit mugoshes qe ne gjeneze partise qe ju drejtoni,0
avokat vecant,0
keto baxhella mediatike,0
bravo,0
enver hoxha per ate teme sejkon vrau kadri hazbiun pushkatovi ne se tha pikerisht kete shprehjeska mundesi tha qe nje cam behet agjent grekutti ke genjyer partine ke vrare padrejtesisht teme sejkon,1
o edi ooooooo nje shqiperis ton,0
çfare thote ky luca mo leket tija ku gjeti leket ky hajduti pano ekonomist lumte vella bb,0
o verrome mosw ngerpre,1
bravo tani pelqeve pergjigjen qe atij palacos qe aty ne studio,0
ik ore kok qepnanjan keshi,1
ca qenka pleksur zoteriame nje cmendur,1
hapni fjalorin shqipes nderime për d goxhajn,0
jame maskiliste po dy fjale do themegazetaret ne shqiperi jane shumica plehrate edukuar arrogantethashe qe jame maskiliste por rrihet dote thene qe nje dhi nuke ke lidhje fare gazetarine se kame ndjekur ne emisione tjera,1
po sala do hik para teje marr jet njerzish aj,0
ky avokati duket mashtrus,1
zem sikur ishte floriani luan rolin edi rama qysh luan roli ne portokalli esht gallat,0
poflet mir respektoj folsin hoxha,0
po tregoi per vilen qe ja bere curri naka qenka,0
reporti asht program rrexhistrum moj sorre shplame edi rama din fort mire kete,0
mjr popull kush po drejton cdo gja esht shum djers,0
po historia institucionale,0
së shpejti shqiperia duhet kerkoj ne okb qështjen çame këthehen pronat paguhen dëmet,0
papar edi,0
boss,0
kur mam pare per here pere majen thashe do lidhur zinxhira se ndryshe ska bure mbaje fe shkretin agron beri alkolist pastaj drogaxhi avukati kohes se enverit duke njohur mire ben pyetje vetes ce shtyu kete behet alkolist pas mari droge tregon se avukati eshte pordhe ne nj emision avukati be qen terbuar per bere mehmet shehun qytetar nderi,1
ishte ballkani hapurdo le shum mundesi gjej treg qon qershit aty ku nevoj nqs tregu shqiptar nk nevoj kaq thjesht,0
votojeni prap kto plerat popull kot apo tani qe eshte bo saliç berishiçi,1
hale njeri,1
nderuar lexues ilir meta aq intelekt sa pasur rrapush xhaferi fajdeve vetquajtur gjeneral ok,0
ky eshte babai skemes perca sundo tipik komunist,1
dashuria mbaron po djali esht dyve,0
erjon veliaj krye hajdut,1
futini plumb kokës kësaj qelbësire mbiemrin dhulimor qiftë dreqi naniçkën,1
kta duan enverin maskarenje grek ndyre pisa njerez,1
o tan ai thot esht vogel jepi nje bibiron,1
shifni poshte se reagojne patronazhistet krimbat kuq sigurimit menjehere sa del ne ekran fytyra tyre piste ke bastardi felliqesira beqiri spiun sigurimit burgaxhi ben propagate moral ne kete kanal hale,1
oj laraske po kush ftuar ty per debatti per dele sqenke jo per debat kryeministrin,1
pas renies se komunizmit shqiperine kane udhehequr kriminelet hajdutet,1
po ky sekretari omonias po lypka ja qi at nanë plumb në kokë,1
keput ne bythe duke punuar be milonat,1
per shkelzen berishen jep dy here doreheqjen ilir krimineli por berishen shok per vjedhjen floririt hedh poshte degjojeni or popull se tha gojen tije prej krimineli hajduti,1
bravo respekte,0
o balla thuaj atite drejtuesit seances tja prese fjalen asaje fut koken bytha rri burre mire,1
po nxjere sekretet ky fshatari çepes se skraparit turpppppppppp,1
avokati ditka gjitha çfar ndodhur pseee kaq von oooooavokat,0
o rama qeke lot,0
mashtrimet evropiane diktarin enver hoxha ahmet zogu ku friga evropës lëshuan ose falen tokat shqipëtare,0
respekte per ju avokat,0
skap eshte fyerje inteligjences shqiptareve skap dy standarte,0
dhjefsha gazetarin po aj thot dënuar për dhunë në familje ju ndihmoni krimineli,1
lene mallin edo se bo paranoja mere sportovitet humorin,0
bravo gazetarit,0
na gjeten ata psuri pasjria eshte popullit,0
pusho o blendi lere flase artani beje lehi qeni grek,1
artani mir kaeshte patriot por provoni thoni nje fjale edit ose organeve ligjevenese shikoni se cfare pergjigjie do merrni zoti shet tellalli se jep beleri duht ishte ne burg,1
gazetare nderuar rudina xhunga njerez ftuar ana juaj na detyroni gjejme kohe ju ndjekim respekte,0
hidhini sy hartës së universiteti gjerman antikiteti në zezë fiset greke në kuqe fiset ilire shqiptar por nëse sinqertë është tokë greke në kohët lashta na pëlqen por është vërteta,1
kush ke tallet,0
ky vend nevoje per heroj ju herojt mbeten dua per trimerine,0
nje bravo topit qe mundesoi thuash gjitha keto qe gjith shqiptaret din po shum guxojn flasin tani duhet ruesh se po lufton gjarprin,0
erren syte kur shoh keto laviret lsi tani ne kualicionin bashk han m,1
ju lumtë dritan hoxhatë kërkojëzbulojë hetohen spiunët dalin para drejtësisë tëshpëtojë drejtësija shqipërija,1
ktij boles vec ftyren shihi kupton ca shtremani eshte vk merrni po nxirreni jashte,1
pler njeri ky hoxha kan bo presion ato sali berishes,1
sa mir va bani,0
zidaet popull pakultur ndeshkimiprandaj kto jane ber shehik ne kte shtetku populli thjesht vuan per nji cop buke,1
tani kuptohet dociopat ftyre komb,0
pare bravo,0
shumm bukur bravooo,0
grida shpif ate aneshmerine intervistespo trego moj njehere profesionalizem trego cfare interviste po ben jetes apo zesh mat ate miniken tende mekanizuar mllef,1
nivel qesharak debtati gazetare nivel ulet pyetje polemike perballe kane nje kryeminister qe ben monolog ne perfundim shikuesit nxjerrin dot konkluzion pasi qellimi emisionit eshte jete sa shume populist,0
bravo zoti beqirijan gjitha verteta ato thuameta eshte super hajdut,1
keta politikanet jane papagalle vetem flasin cfare duan vetebravo gazetaret,0
mbase qen baxhell,1
respekt per shokun deliver gogjaj po flet verteten,0
shikojme pasurite tuaja po more amerka do denoje politikanet tane non grada per berishen per meten skeni turp,1
luca baxhelle,1
eshte paktet qe kuptohet shqipja respekt,0
ed rama mjeshter prit,0
ky poshtersi superhajdut skrapari paauri rreth miliard dollarevriteni o popull,1
po jurispodenca do jet gjysmake letërsi gjyqtar apo avokat nse munges letrare ai shtë hendikepuar sa letrar jet intelektual aq m ekspert do jet në lëmin zoti shqiptar lexim lexim do lexim,1
zotria për qind flet drejt,0
ju dini qe rai perhere qene pagaur mafia italaine per shantazhuar kercneuar qeverin politiken italise akoma rai merreni ju eshte dora fundit media ne itali,0
shkullak sala rrahu degjo digjeneroj shave njeher rama ste boo gje rama rama ngele,1
mund vjedhin familjaret ne qese paditur zoti shtepis prandaj velija duhet jap dorheqjen tregohet europian por shtrohet pytja kush zevendesoj djathtit jo jan per ate pubn,1
edi rama bravo,0
ju rrofsh bolet malokutlezhjanit neshpetim koqja psefto patriotti çam shqiptarje thjeshte nje politikan butheshitur dredharak,1
ne varr gezofshi femij muilka meta saliu familjarisht gjith ata qe kan vjedhur,1
shqiptart gjor vetem percarja su ben kurr reheat nje njeri nje grup vogel tallet mbar popullin shqiptar,0
o artan bekoft zoti madh se flet verteten,0
bravo artan futia gote kokes,1
ilir meta mona sali berishaduheshin arrestuar para vitesh tani sht shum vonskta t duhen t prfundojn çausheskukta plera,1
l,0
lavdi ne shekuj enver hoxhes,0
merreni vareni per koqesh kete zorren,1
o zonje nderuar ajo qe ben agaci esht ne shtetin italjan kerkon qe denuarit shlyje denimin ne shqipri ktu pastaj ne shtetin ton ne ministri drejtesis vjen kerkesa pranoni kte denuar vije ne shqipri ktu hyn agaci shperblim leku kerkesa pranohet vendi jon iku nje levizje dy pastaj gjdo transferuar shtetet jtera ne vendin origjines drejten beje revizjon proqesi qe do thon behet nje gjygj gjykohet se denuar ne gjdo aspet ligjor ashtu duhet kta tan marrin ca lek thon jo ky esht denuar ne shkellje disa pikave qe ligji denimet vjeqare ben os vjeqare dalin burgu ok zonje ne vendin ton bejn burg apo vjet burg njerez qe skan ber krim per nje denim till por duhet plotesojn numrin gjykime denimeve qe gjygjtar prokuront japin se leket kan marr tjeret,1
saliut,0
zoteria qe flet per konferencen paqes ne paris flet nje militant spiuno komunist enver hoxhes ne konferencen paqes ne paris enver hoxha ndejti vetem nje muaj ne konference largua delegati grek britanik propozuan ne konference qe kufiri grek arrinte deri ne lumin shkumbin por ishte qendrimi prere shba qe ky propozim pranohej konferenza vendosi qe propozimi grek hidhej ne votim vota pro kunder tre abstenime propozimi greko britanik pranua shqiperia mbeti perseri ne kufijte peshen konferences mbajti patrioti intelektuali kahreman ylli ishte per enver hoxhen kufiri sot ne vitin do ishte ne brigjet lumit shkumbinenver hoxha qene mbetet apokalipsi shkatarrimi shqiperise popullit shqiptar,0
ca cuni bravo,0
burr shteti,0
madhi zoteri ne funde paska kuptuar korruptuarin berisha,0
para delinda eshte bere bajate farena hapi barkun servile ne kulm gjithe por kte dhi deri ne gryke dyta njohim gjithe kryeministrat botes kane karakter burreror mbajne postin dinjitet po ky joni arrogant mendjemadh qe duket vetja skenderbeu qe arrin maj thoit skenderbeut jo therrasin ashtubej per popullin o edi leri pordhet se skemi ku shesim vet treta bravo albano ja ke dhi komplet ed karagjozit uroj qe fitoj zgjedhjet ai qe mendon per popullin jo per vete pace and love,1
artan hoxha nje hero kobit shqiptare hallall qumshti nenes qe ke rritur edukuar nje trim vertete respekte shume,0
hallall taniky ësht shtet degjeneru politika drejtesia mediat kan rën ne duar grekut serbit rusit turkut tradhtarët kombit shqiptar kan shekuj qe paguhen armiqt tan per sherby djajveshqiperia duhet uli kurr koken per tju nenshtru atyre qe na kan coptuar ne pjes shum her kan tentuar na zhdukin fare komb harta europianehiqni dor servilizmat pazaretflamuri gjaku atdheu shiten hec perpara taniçirrja masket ktyre felliqësirave qe shesin njerzit shpis per para,1
korruptuarit pranojne asgje zoti beqiri kur gjona jane fakte,1
lumte goja o gjergj se keta bejn petullat uje duke llomotis fjale fjale fjalenderkoh qe ky vend siç the nevoj per pune pune rrespekt,0
ore ato plakat dimrit për inat ramës ju poshtëroni shqipërin turpë tu vij ore lëreni ramën mbroni shqipërin,1
bravo artan hoxha perplasja ne fytyr,1
znjgrida kaq problemper tmos levizurduartnuk mbene pershtypje mimikapor duartegjymtyret sipermethemi per gjerat qedukene cfare duketnenkuptohet,0
liijffkmmm nvn pll,0
mit ne zid js ki asht pak,0
kamera verifikohet shikohet fshirje mn,0
mjaft o idrize moren veshcamcopancifut perdoret populli duke paraqitur besepor qe eshte gabuardiktatori vrau teme sekonu vrane gjithe komandantet cetaceans partizanetu vrane komandantet brigadavekulmi rriti ne eleminimin kryeministrit shqiperisemos eshte pakpopulli perjetuar dramen madhe shqiptareme emrin komunizem,0
grek pusht,1
pi ilacet paske dal oilir,1
flet ate qe shkon micon hap piktura vjen ne himar ngre flamurin greek m kete rregullohet shqiperia nje dit vucic nje dit micon nje dit erdoganin,0
ky pithi motres duhet largohet shqiprija ky moter qimi gjith keto moter qimat qe jane shitur greku ju qifsha motrat ketyre gjith greqis qifsha fsmiljet,1
o fejvzi ky asnje shanc shohe shen pjetrin se djajt dine mire ku kane vendin dua them nje vertete se ky dadhkaukuper bagazhi bie tek themrat ketij epitetet ndyra per jane minimale ky berisha meta tre burgime perjetshme justifikojne krimet qe kane bere po bejne kunder bashkombasve vet ky keta jane turpi zeza kombit gjithashtu do thoja se per nje fejvzi shum pak tek fejvzi po shum njerez qe duan shqiperine shqipetaret pres aq shum sa ju besoni keto figura ndyra keto sykalbur neveris gjithmone respekt artani shenkoll,1
o rrifeni ket qe mbeshtet pleren beleri,1
lumte avokat pergjegjesin rojeve ne krrabe arjan bishqemin kur vodh floriri ai zhduku se dinte qe vodhi iliri vrau fshatarin krrabes qe kaloi rastesisht gomar ai eshte jo vetem hajdut por vrases,1
keto jan cilsit heroit kombetar artan hoxha,0
bravo o mbreti shqiperis artan hoxha respekte,0
mire ishalla aqw,0
idajet beqiri esht nje nder avukatet kuraja paster nje avukat drejt guximshem ku der hajduteve ilir meta qe kane vjedhur pasurin kombetare hyre asnje gjembe ne kembe cfare pritet duhet arrestohen sa shpejte,1
bravo ësht vertet burr,0
respekte avokat nderuar spak akses marri informacion në gjithë botën nese ilir meta do hetohet seriozisht kan dal miliarda lekë shqiptarëve,0
bravo zoti do shperblej,0
ndigjosh ramen pallavrat tijjustifikimet tijte vjen vjelleshke vjet qe vjedh mashtron tallesh kete popullje bo miliardesh para pista ky pervecse vjedh ky shkaterruar vendin ky vendin ne kosh ky do paguaj cdo qindarkeqe veria ministra kryetar bashkishdrejtore tjere jane ne burgsi mundesi qe drejton akoma,1
hahah o albano ca futme mire bere salen po mjer ata barbona qe votojn kte langaraqin kte drogaxhiun qe njef gjithe bota mafje,1
qenga nje pickrop ky qe flet kot ky fytyr thata,1
politikanë leshi,1
rama hallall,0
palaço se ty,1
mendim tjetër niveli shumë ulët në diskutime ftuarëve në emisione televizive gjitha kanaleve televzive,0
ky kujton nje personazh kadarese qe kur kethehej per pushimet shkolles tirana ne fshatu thoshte fshatareve se bere dashuri gocat yje tiranes,0
populli iqet zvarr per nje kor buksamezi hamkurse keta tallinbskan car bejn qejfitje math o avukati mbytet zollumi keta gjithdalcin drejtat popullitqe po vuajn shum,1
po o mut qelbur ça ke,1
respekte per marin sulin qenka burre mencur,0
lumt rait diskrititon qeverisjen shqiptare në vjet hajni hapur lezet bravo mari vesh bota se edi rama ësht tjetër ajo shikojn në studiot botës hero shqipris ikin syt këmbët se skan rrug kazan plerash pra shtëpis uji pun ambulanx në lagjen shkoll ikin se na bër jetën ferr ky edi tëngërllikut në studiot botës për mënçurit japi mënd botës po ne sna vjen dëgjojm se na gënjeu në vjet qeverisje edi ramës jan hajni,0
o majan flit mend jo inate,0
ky fytyr patatja do tregoj artan hoxhes respekte per hoxhen,0
gjakpiresit,1
o gjergj po ku ke shku tek kyky ste len fol,1
o qeroz pyete meten thote se ndihmoj hajdutet vidhnin pronat ne palas pyete sa moren iliri saliu,1
ky do varur kokposhte atje tek hekuri ku ngjitet majmun,1
koken fatemerdes jo brinjetptuu palaco kurdisursi turp flet apo,0
jep shtjelme në prezencë forcave policisë,0
besh pazar nenenharram qumështi saj,0
mbylle gojen degjo tanin or budalla,1
legen legen portalibudallenje ata qe besojne,1
bravo edo shpori keta sahanlepirsat,1
bravo ton hoxha,0
ky nje yllemore jahuuueee cvete thuajjane fare plako fate leshiiite bie ne dereeee mose ore zote madheeemossseee,1
kujdes avokat se ky hajdut eshte rrezikeshem,1
bravo artan hoxha,0
ty tekani m neshi or avumut,1
lind nena ai burre mereni vesh o shquptar,0
mban qeni breke o luceti qen ke lindur qen do vdesesh,1
lane nam,1
